id,exam_Q1,exam_Q2,exam_Q3,exam_Q4,exam_Q5,exam_Q6,exam_Q7,exam_Q8,exam_Q9,exam_Q10
91,86,84,76,85,86,40,88,76,51,87
92,40,52,40,72,48,40,97,38,61,86
93,22,75,76,53,23,74,46,57,55,81
94,82,35,41,43,28,42,58,96,49,99
95,61,41,93,32,76,95,59,42,31,83
96,53,50,93,97,83,55,51,31,74,54
97,43,23,69,41,29,80,70,46,100,36
98,67,25,88,36,74,22,23,48,36,48
99,53,92,54,46,36,66,96,35,41,57
100,48,96,38,35,40,25,81,92,99,73
101,57,64,97,59,58,76,98,99,89,44
102,93,77,25,65,62,62,30,60,30,93
103,25,83,71,64,83,60,29,21,86,71
104,69,47,29,90,60,39,91,96,70,99
105,56,40,44,59,68,62,21,22,50,43
106,79,93,88,38,67,95,66,50,96,58
107,32,73,39,44,81,93,71,68,38,79
108,97,68,40,78,83,92,48,94,34,85
109,93,30,47,36,96,23,22,43,67,42
110,64,87,64,94,20,57,39,40,52,22
111,93,43,39,29,49,98,73,81,20,49
112,97,29,45,53,41,96,51,68,98,96
113,36,73,32,49,71,89,92,58,81,81
114,66,31,21,81,25,99,54,24,52,37
115,20,31,66,36,64,53,45,54,55,66
116,68,34,47,68,56,82,79,84,77,24
117,66,41,97,30,28,98,100,88,46,34
118,92,97,72,57,70,73,22,73,34,31
119,52,83,63,80,58,79,21,76,78,95
120,59,65,30,69,96,68,61,50,37,21
121,66,37,21,99,58,88,92,73,49,38
122,85,80,96,54,72,27,51,73,23,76
123,50,51,24,23,62,33,100,29,87,99
124,37,26,81,45,45,100,77,39,65,37
125,61,28,84,27,55,95,88,29,61,61
126,65,76,38,79,35,53,100,64,31,100
127,95,59,47,39,30,69,33,58,39,71
128,31,72,22,42,61,93,85,81,100,39
129,86,72,34,96,56,56,97,91,79,28
130,95,34,62,23,29,31,72,73,42,71
131,95,29,34,41,27,49,63,45,45,71
132,50,96,60,99,42,80,95,20,29,84
133,55,87,69,88,94,73,54,34,57,51
134,69,99,75,54,76,36,38,30,89,33
135,54,96,25,95,35,73,82,62,58,28
136,53,60,75,78,65,76,78,82,88,65
137,69,83,77,37,53,66,41,75,36,80
138,71,38,36,100,63,97,56,62,97,63
139,91,99,90,25,73,75,28,65,60,62
140,87,86,80,22,81,94,77,74,41,38
141,22,74,99,59,63,50,74,95,38,51
142,35,95,100,99,30,80,57,86,33,59
143,58,59,90,76,99,79,85,64,21,38
144,34,29,52,54,97,43,76,89,90,51
145,82,83,22,69,100,49,36,53,46,58
146,87,46,31,73,23,41,25,62,95,66
147,45,74,39,35,69,35,98,42,93,53
148,68,54,75,24,60,72,44,23,76,69
149,61,100,24,55,75,28,65,50,30,79
150,81,86,59,95,28,67,61,41,77,70
151,61,96,97,89,76,22,83,79,76,65
152,49,33,94,26,69,50,55,56,94,72
153,30,87,82,37,43,45,47,36,68,42
154,95,92,53,29,53,38,31,76,56,57
155,54,35,68,46,80,45,81,34,80,96
156,53,50,96,100,38,67,25,45,97,78
157,27,48,96,78,35,46,61,48,57,57
158,28,69,88,42,85,61,94,100,76,96
159,75,56,73,26,31,97,45,88,62,62
160,93,44,50,38,63,66,42,43,37,88
161,46,30,84,69,97,85,45,97,90,90
162,91,29,63,26,87,54,67,48,59,95
163,20,64,71,92,72,39,66,79,74,68
164,23,38,75,47,64,67,64,40,99,31
165,93,91,29,20,39,81,78,66,54,89
166,88,51,24,39,98,32,99,99,61,80
167,81,22,77,32,23,52,60,67,68,34
168,89,68,84,72,44,76,76,62,59,94
169,70,47,57,29,80,69,90,40,23,62
170,89,24,28,72,79,41,28,93,20,45
171,84,37,77,31,30,46,70,30,79,99
172,54,63,69,28,43,67,37,87,39,58
173,65,27,86,100,93,80,75,44,27,80
174,87,84,56,84,51,23,29,88,96,80
175,85,40,35,25,60,69,92,75,59,24
176,57,51,37,86,89,56,40,82,97,58
177,78,28,74,93,50,22,68,30,58,27
178,86,33,54,36,27,53,92,62,100,75
179,90,27,30,24,21,50,40,87,54,63
180,62,90,67,70,70,60,65,28,82,68
181,23,83,71,71,62,67,30,53,23,67
182,80,42,22,87,34,71,37,69,77,91
183,64,46,48,85,64,61,76,29,90,87
184,28,58,64,59,52,83,47,100,49,61
185,63,29,83,100,39,87,23,79,64,21
186,46,94,61,64,82,43,86,76,55,21
187,44,54,43,85,27,28,51,53,87,53
188,82,44,91,70,75,42,32,77,59,87
189,23,81,85,50,98,100,55,81,57,52
190,83,48,53,38,41,63,34,98,92,20
191,30,27,87,42,62,47,53,42,52,97
192,87,90,61,70,45,46,34,58,94,57
193,40,43,77,43,68,54,20,23,86,49
194,81,29,35,66,93,79,39,37,24,45
195,27,81,63,75,84,33,20,53,71,63
196,75,71,98,87,30,46,91,40,43,54
197,66,60,79,98,37,48,85,59,30,28
198,99,66,67,22,68,35,65,21,60,28
199,22,99,53,66,39,85,59,97,67,67
200,65,86,30,21,85,74,83,100,90,33
