"","id","hb","cancer_site_icd10code","cancer_site","sex","sex_qf","year","incidences_age_under5","incidences_age5to9","incidences_age10to14","incidences_age15to19","incidences_age20to24","incidences_age25to29","incidences_age30to34","incidences_age35to39","incidences_age40to44","incidences_age45to49","incidences_age50to54","incidences_age55to59","incidences_age60to64","incidences_age65to69","incidences_age70to74","incidences_age75to79","incidences_age80to84","incidences_age85and_over","incidences_all_ages","incidence_rate_age_under5","incidence_rate_age5to9","incidence_rate_age10to14","incidence_rate_age15to19","incidence_rate_age20to24","incidence_rate_age25to29","incidence_rate_age30to34","incidence_rate_age35to39","incidence_rate_age40to44","incidence_rate_age45to49","incidence_rate_age50to54","incidence_rate_age55to59","incidence_rate_age60to64","incidence_rate_age65to69","incidence_rate_age70to74","incidence_rate_age75to79","incidence_rate_age80to84","incidence_rate_age85and_over","crude_rate","crude_rate_lower95pc_confidence_interval","crude_rate_upper95pc_confidence_interval","easr","easr_lower95pc_confidence_interval","easr_lower95pc_confidence_interval_qf","easr_upper95pc_confidence_interval","easr_upper95pc_confidence_interval_qf","wasr","wasr_lower95pc_confidence_interval","wasr_lower95pc_confidence_interval_qf","wasr_upper95pc_confidence_interval","wasr_upper95pc_confidence_interval_qf","standardised_incidence_ratio","sir_lower95pc_confidence_interval","sir_upper95pc_confidence_interval"
"11",11,"S08000015","ICD-10 C40-C41, C47+C49","Bone and connective tissue","Male"," ","2015-2019",1,1,1,0,0,0,0,1,0,3,3,6,5,3,4,8,3,2,41,2.1238637329029,1.95890223118964,2.00762899016262,0,0,0,0,2.17282663016318,0,4.82377154617957,4.35413642960813,8.97397547113371,8.24701458072178,5.05944852011131,7.98036829399677,22.8343085485943,12.9881375010823,12.4107973937325,4.62203062715319,3.31684897779343,6.27030644804104,4.45573164995239,"3.17892380896702"," ","5.94473774821977"," ",2.62451137576043,"1.71609203056256"," ","3.72282723683439"," ",98.9579593636867,71.0139401568898,134.247645837277
"12",12,"S08000015","ICD-10 C40-C41, C47+C49","Bone and connective tissue","Female"," ","2015-2019",0,1,1,4,4,0,2,0,2,2,2,2,2,5,4,8,3,2,44,0,2.04678961049594,2.06701254676616,8.19504199959025,7.7949917178213,0,3.85847127368137,0,3.54811240420097,2.8324198779227,2.60678023539226,2.76537201166987,3.02462041013853,7.80323366002872,7.07789220370174,18.8005264147396,9.56449658866288,6.65291730423791,4.5665228211978,3.31804247262103,6.13034374296163,4.32815787676018,"3.13394366395057"," ","5.71215662525754"," ",3.37288931712442,"2.22775271015972"," ","4.75174131858899"," ",139.289682821546,101.208096772103,186.989897779642
"13",13,"S08000015","ICD-10 C47+C49","Connective tissue","All","d","2015-2019",1,2,0,2,3,0,1,1,0,4,4,4,5,7,8,12,4,4,62,1.0958904109589,2.00188176886273,0,2.00178158561119,2.84848887665094,0,1.02159655109004,1.0216069877918,0,3.0119801510508,2.74681884043043,2.87391419929158,3.94471093158293,5.67394282286761,7.50208651781277,15.4665085645791,7.34430082256169,8.66232106893042,3.35028288275631,2.56864267537231,4.29491145395503,3.20659413435536,"2.44678796165061"," ","4.06756858613919"," ",2.03933028173106,"1.43794044391802"," ","2.74414421951667"," ",110.41035129755,84.6509832364994,141.541087429881
"14",14,"S08000015","ICD-10 C47+C49","Connective tissue","Male"," ","2015-2019",1,1,0,0,0,0,0,1,0,3,3,2,4,3,4,6,3,2,33,2.1238637329029,1.95890223118964,0,0,0,0,0,2.17282663016318,0,4.82377154617957,4.35413642960813,2.99132515704457,6.59761166457742,5.05944852011131,7.98036829399677,17.1257314114457,12.9881375010823,12.4107973937325,3.72017099258671,2.56079453526382,5.22450321841791,3.62913252462305,"2.47907643151245"," ","4.99488328124991"," ",2.08145686606497,"1.28082673271807"," ","3.0733278637292"," ",104.920851075424,72.2226861627014,147.347884066359
"15",15,"S08000015","ICD-10 C47+C49","Connective tissue","Female"," ","2015-2019",0,1,0,2,3,0,1,0,0,1,1,2,1,4,4,6,1,2,29,0,2.04678961049594,0,4.09752099979512,5.84624378836597,0,1.92923563684068,0,0,1.41620993896135,1.30339011769613,2.76537201166987,1.51231020506926,6.24258692802297,7.07789220370174,14.1003948110547,3.18816552955429,6.65291730423791,3.00975367760764,2.01567927416655,4.32250833271961,2.78405574408767,"1.85780441937224"," ","3.8946783105554"," ",1.99720369739716,"1.16236218206455"," ","3.05430377173143"," ",117.39999473494,78.6246189962557,168.605975724359
"16",16,"S08000015","C71","Malignant brain cancer","All","d","2015-2019",3,5,2,2,0,5,4,1,5,4,15,15,19,25,19,26,18,7,175,3.28767123287671,5.00470442215683,2.03688804244875,2.00178158561119,0,4.92188961185979,4.08638620436017,1.0216069877918,4.71431265321516,3.0119801510508,10.3005706516141,10.7771782473434,14.9899015400151,20.2640815102415,17.8174554798053,33.5107685565881,33.0493537015276,15.1590618706282,9.45644362068313,8.10724475839716,10.9659988681784,8.95076651356828,"7.65121672509699"," ","10.3507500434942"," ",5.55160043419314,"4.54991788159621"," ","6.65145137181956"," ",107.354754937939,92.0379065504057,124.49205730663
"17",224,"S08000016","C91.0","Acute lymphoblastic leukaemia","Female"," ","2015-2019",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,20.0267022696929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01464470524571,0.209244131259716,2.96522239988579,1.10146862483311," ","z"," ","z",2.00267022696929," ","z"," ","z",97.1462745470128,20.0338973017998,283.902638887273
"18",17,"S08000015","C71","Malignant brain cancer","Male"," ","2015-2019",1,3,1,1,0,3,1,1,1,2,5,10,12,13,11,16,8,6,95,2.1238637329029,5.87670669356892,2.00762899016262,1.95690886675408,0,6.000600060006,2.17145835142882,2.17282663016318,2.01239636158738,3.21584769745305,7.25689404934688,14.9566257852229,19.7928349937323,21.9242769204823,21.9460128084911,45.6686170971885,34.6350333362196,37.2323921811976,10.7095831604769,8.66469231517857,13.0919100511755,10.3602111704887,"8.34506000057977"," ","12.5900306937179"," ",5.91923746763498,"4.5265674988508"," ","7.4958433985764"," ",104.994178009344,84.9465598897823,128.349937975946
"19",18,"S08000015","C71","Malignant brain cancer","Female"," ","2015-2019",2,2,1,1,0,2,3,0,4,2,10,5,7,12,8,10,10,1,80,4.52837023955079,4.09357922099187,2.06701254676616,2.04876049989756,0,3.8765700108544,5.78770691052205,0,7.09622480840193,2.8324198779227,13.0339011769613,6.91343002917468,10.5861714354848,18.7277607840689,14.1557844074035,23.5006580184245,31.8816552955429,3.32645865211895,8.30276876581418,6.58357926040913,10.3335144340976,7.54132185664784,"5.96626304958727"," ","9.29809266566323"," ",5.18396340075131,"3.8041734445363"," ","6.7739565556752"," ",110.299586387239,87.4607121856321,137.277383021971
"20",19,"S08000015","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","All","d","2015-2019",3,5,2,2,0,5,4,1,5,4,15,15,19,25,19,27,19,7,177,3.28767123287671,5.00470442215683,2.03688804244875,2.00178158561119,0,4.92188961185979,4.08638620436017,1.0216069877918,4.71431265321516,3.0119801510508,10.3005706516141,10.7771782473434,14.9899015400151,20.2640815102415,17.8174554798053,34.799644270303,34.885428907168,15.1590618706282,9.56451726206237,8.20733135658209,11.0820374096696,9.04770435405919,"7.74124337291028"," ","10.454537886436"," ",5.5738422908599,"4.57151591735935"," ","6.67403653897916"," ",104.414826508514,89.5985710742099,120.981433959167
"21",20,"S08000015","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","Male"," ","2015-2019",1,3,1,1,0,3,1,1,1,2,5,10,12,13,11,17,8,6,96,2.1238637329029,5.87670669356892,2.00762899016262,1.95690886675408,0,6.000600060006,2.17145835142882,2.17282663016318,2.01239636158738,3.21584769745305,7.25689404934688,14.9566257852229,19.7928349937323,21.9242769204823,21.9460128084911,48.5229056657628,34.6350333362196,37.2323921811976,10.8223156147977,8.76611039381891,13.2158996725492,10.4743827132317,"8.44747718771813"," ","12.7159741192767"," ",5.94778035332072,"4.55373151157553"," ","7.52514343272768"," ",102.107195641945,82.7071562925664,124.690362162805
"22",21,"S08000015","C70-C72, C75.1-C75.3","Malig brain ca (incl pit. gland, cranio. duct, pineal gland)","Female"," ","2015-2019",2,2,1,1,0,2,3,0,4,2,10,5,7,12,8,10,11,1,81,4.52837023955079,4.09357922099187,2.06701254676616,2.04876049989756,0,3.8765700108544,5.78770691052205,0,7.09622480840193,2.8324198779227,13.0339011769613,6.91343002917468,10.5861714354848,18.7277607840689,14.1557844074035,23.5006580184245,35.0698208250972,3.32645865211895,8.40655337538686,6.67601682910469,10.4485782733281,7.6210259948867,"6.03849188550503"," ","9.38495134987254"," ",5.19990422839908,"3.8194960260283"," ","6.78996553428833"," ",107.288581294539,85.2026201832269,133.349910413045
"23",22,"S08000015","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","All","d","2015-2019",1,1,1,2,3,6,8,11,6,17,12,26,17,33,25,21,19,18,227,1.0958904109589,1.00094088443137,1.01844402122437,2.00178158561119,2.84848887665094,5.90626753423174,8.17277240872035,11.2376768657098,5.65717518385819,12.8009156419659,8.24045652129128,18.6804422953953,13.412017167382,26.7485875935187,23.4440203681649,27.0663899880135,34.885428907168,38.9804448101869,12.2663582965433,10.7224410018566,13.9701545195948,11.2771741531448,"9.83879116160443"," ","12.8122569772687"," ",6.98739920744024,"5.93141965909483"," ","8.12861209253844"," ",100.558885698593,87.901942291989,114.526507180498
"24",23,"S08000015","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","Male"," ","2015-2019",1,0,0,2,3,2,2,4,4,9,5,7,6,15,7,3,7,3,80,2.1238637329029,0,0,3.91381773350815,5.55514406340271,4.000400040004,4.34291670285764,8.69130652065272,8.04958544634951,14.4713146385387,7.25689404934688,10.469638049656,9.89641749686613,25.2972426005565,13.9656445144943,8.56286570572285,30.3056541691921,18.6161960905988,9.01859634566476,7.15118601204326,11.2244238207552,8.72909392047097,"6.90214190904437"," ","10.7673160059423"," ",6.05081317173153,"4.60273888430213"," ","7.69391286420118"," ",96.2111763731817,76.2894792395113,119.743137237219
"25",24,"S08000015","D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","Non-malig brain ca (incl pit.gland,cranio.duct,pineal gland)","Female"," ","2015-2019",0,1,1,0,0,4,6,7,2,8,7,19,11,18,18,18,12,15,147,0,2.04678961049594,2.06701254676616,0,0,7.75314002170879,11.5754138210441,13.4973583741468,3.54811240420097,11.3296795116908,9.12373082387289,26.2710341108638,16.6354122557619,28.0916411761034,31.8505149166578,42.3011844331641,38.2579863546515,49.8968797817843,15.2563376071836,12.8897944365073,17.9315485154388,13.8252543858185,"11.658151558068"," ","16.1743623944352"," ",7.92398524314896,"6.44001142022072"," ","9.55951781827946"," ",103.094260178861,87.1024131416453,121.17192052633
"26",25,"S08000015","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","All","d","2015-2019",4,6,3,4,3,11,12,12,11,21,27,41,36,58,44,48,38,25,404,4.38356164383562,6.00564530658819,3.05533206367312,4.00356317122239,2.84848887665094,10.8281571460915,12.2591586130805,12.2592838535016,10.3714878370734,15.8128957930167,18.5410271729054,29.4576205427387,28.4019187073971,47.0126691037602,41.2614758479702,61.8660342583165,69.7708578143361,54.1395066808151,21.8308755586056,19.7537405298185,24.0670250215965,20.3248785072039,"18.3609240349271"," ","22.387186023087"," ",12.5612414983001,"11.0855984741027"," ","14.1277503323665"," ",102.21261564509,92.4874260268163,112.682314167812
"27",26,"S08000015","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","Male"," ","2015-2019",2,3,1,3,3,5,3,5,5,11,10,17,18,28,18,20,15,9,176,4.24772746580579,5.87670669356892,2.00762899016262,5.87072660026223,5.55514406340271,10.00100010001,6.51437505428646,10.8641331508159,10.0619818079369,17.6871623359918,14.5137880986938,25.4262638348789,29.6892524905984,47.2215195210389,35.9116573229855,57.0857713714857,64.9406875054117,55.8485882717965,19.8409119604625,17.017849153958,22.9984895523882,19.2034766337027,"16.429395117456"," ","22.1907816158557"," ",11.9985935250523,"9.9478319683603"," ","14.2386898538858"," ",99.3400311240484,85.2054415637426,115.149478637528
"28",27,"S08000015","C70-C72, C75.1-C75.3, D18.0, D32-D33, D35.2-D35.4, D42-D43, D44.3-D44.5","All brain and CNS tumours (malignant and non-malignant)","Female"," ","2015-2019",2,3,2,1,0,6,9,7,6,10,17,24,18,30,26,28,23,16,228,4.52837023955079,6.14036883148781,4.13402509353232,2.04876049989756,0,11.6297100325632,17.3631207315662,13.4973583741468,10.6443372126029,14.1620993896135,22.1576320008342,33.1844641400384,27.2215836912467,46.8194019601723,46.0062993240613,65.8018424515886,73.3278071797488,53.2233384339033,23.6628909825704,20.6908552321758,26.9419801008566,21.4462803807052,"18.7256345866781"," ","24.348771971926"," ",13.123889471548,"11.0558724434698"," ","15.3665899168091"," ",104.546260964377,91.4153537821107,119.033776751789
"29",28,"S08000015","C50","Breast","All","d","2015-2019",0,0,0,0,2,6,23,41,65,106,204,202,248,256,189,168,123,143,1776,0,0,0,0,1.89899258443396,5.90626753423174,23.496720675071,41.8858864994637,61.2860644917971,79.8174740028463,140.087760861952,145.132667064225,195.657662206513,207.504194664873,177.236793983327,216.531119904108,225.837250293772,309.677978214263,95.9693935447614,91.5574593489404,100.538979139161,81.8315138888576,"78.0397528165342"," ","85.7119584905079"," ",45.5472167896558,"43.1952226785255"," ","47.960683703815"," ",96.4651172252397,92.0303934693642,101.058306717773
"30",29,"S08000015","C50","Breast","Male"," ","2015-2019",0,0,0,0,0,0,0,0,0,1,1,2,0,3,0,1,3,2,13,0,0,0,0,0,0,0,0,0,1.60792384872652,1.45137880986938,2.99132515704457,0,5.05944852011131,0,2.85428856857428,12.9881375010823,12.4107973937325,1.46552190617052,0.7803286930029,2.50608709237736,1.46906665065828," ","z"," ","z",0.596018393462," ","z"," ","z",124.011573457276,66.0309399850686,212.063567414545
"31",30,"S08000015","C50","Breast","Female"," ","2015-2019",0,0,0,0,2,6,23,41,65,105,203,200,248,253,189,167,120,141,1763,0,0,0,0,3.89749585891065,11.6297100325632,44.3724196473357,79.0559561914311,115.313653136531,148.702043590942,264.588193892314,276.537201166987,375.052930857177,394.843623197453,334.430406624907,392.460988907689,382.579863546515,469.030669948773,182.97226667663,174.530017435042,191.717314366999,162.193961127057,"154.654897636081"," ","169.909918991682"," ",90.4984151858497,"85.8080257509891"," ","95.3118575784441"," ",96.3073727731633,91.8637985664203,100.910324811375
"32",31,"S08000015","D05","Carcinoma in situ of the breast","All","d","2015-2019",0,0,0,0,0,0,1,2,1,4,45,33,30,35,23,8,3,0,185,0,0,0,0,0,0,1.02159655109004,2.04321397558359,0.942862530643032,3.0119801510508,30.9017119548423,23.7097921441555,23.6682655894976,28.3697141143381,21.5684987387117,10.3110057097194,5.50822561692127,0,9.99681182757931,8.60812070501568,11.545752208894,8.38774634458861,"7.21958618494036"," ","9.6422184042162"," ",5.0319811456267,"4.30531028980817"," ","5.814487109342"," ",98.5178311475432,84.8323842382215,113.782522488735
"33",32,"S08000015","D05","Carcinoma in situ of the breast","Male"," ","2015-2019",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6864828400371,0,0,4.32937916702745,0,0.225464908641619,0.0273048464295338,0.814456772483807,0.200991035377727," ","z"," ","z",0.0722413810362503," ","z"," ","z",236.213750702207,28.6065810698728,853.285285822529
"34",33,"S08000015","D05","Carcinoma in situ of the breast","Female"," ","2015-2019",0,0,0,0,0,0,1,2,1,4,45,33,30,34,23,8,2,0,183,0,0,0,0,0,0,1.92923563684068,3.85638810689908,1.77405620210048,5.66483975584541,58.6525552963257,45.6286381925529,45.3693061520779,53.0619888881953,40.697880171285,18.8005264147396,6.37633105910859,0,18.9925835517999,16.3404276948054,21.9525583679295,16.5745016537995,"14.2542268620732"," ","19.0671714466189"," ",9.99172091021715,"8.54235812554855"," ","11.5529870227142"," ",97.8941658046377,84.2240621825447,113.15087190981
"35",34,"S08000015","C18-C20","Colorectal cancer","All","d","2015-2019",0,0,0,2,0,5,3,12,21,45,82,88,151,230,243,262,208,172,1524,0,0,0,2.00178158561119,0,4.92188961185979,3.06478965327013,12.2592838535016,19.8001131435037,33.8847766993215,56.3097862288237,63.2261123844148,119.130270133805,186.429549894221,227.875877978563,337.685436993311,381.903642773208,372.479805964008,82.3521147309777,78.2689613101651,86.5930187527228,75.2027172748646,"71.4167052867643"," ","79.0851359050034"," ",32.3688929403408,"30.5405081694787"," ","34.2496823279087"," ",99.6526425592009,94.7117004876119,104.784475469472
"36",35,"S08000015","C18-C20","Colorectal cancer","Male"," ","2015-2019",0,0,0,2,0,3,1,3,10,20,35,41,89,136,132,144,111,64,791,0,0,0,3.91381773350815,0,6.000600060006,2.17145835142882,6.51847989048954,20.1239636158738,32.1584769745305,50.7982583454282,61.3221657194137,146.796859536848,229.361666245046,263.352153701893,411.017553874697,480.561087540047,397.145516599441,89.1713713677603,83.0646246562823,95.6083081378367,85.1269421958569,"79.2113234912193"," ","91.252567217284"," ",36.0019098791111,"33.2523099507407"," ","38.8591786381547"," ",95.8231690231288,89.2608854859379,102.74027336558
"37",36,"S08000015","C18-C20","Colorectal cancer","Female"," ","2015-2019",0,0,0,0,0,2,2,9,11,25,47,47,62,94,111,118,97,108,733,0,0,0,0,0,3.8765700108544,3.85847127368137,17.3537464810459,19.5146182231053,35.4052484740338,61.259335531718,64.9862422742419,93.7632327142944,146.70079280854,196.411508652723,277.307764617409,309.252056366767,359.257534428847,76.0741188167724,70.6658403665836,81.7865181962,65.2784923538723,"60.6149738588268"," ","70.112383307085"," ",28.7358760015705,"26.3581709658928"," ","31.2147932367437"," ",104.143974998756,96.7401479881614,111.964137590279
"38",37,"S08000015","C18","Colon","All","d","2015-2019",0,0,0,2,0,4,2,6,13,29,49,52,94,164,175,199,164,126,1079,0,0,0,2.00178158561119,0,3.93751168948783,2.04319310218009,6.12964192675078,12.2572128983594,21.8368560951183,33.6485307952727,37.3608845907905,74.1605655137592,132.932374707184,164.108142577154,256.48626702927,301.116333725029,272.863113671308,58.3057295240977,54.8782367528771,61.8912264400014,52.934196362424,"49.7776633045435"," ","56.1863932117551"," ",21.9947345606951,"20.5121879296095"," ","23.5282763785849"," ",101.030831825958,95.0917509057755,107.243698706792
"39",38,"S08000015","C18","Colon","Male"," ","2015-2019",0,0,0,2,0,2,1,3,7,10,22,24,51,85,91,107,86,44,535,0,0,0,3.91381773350815,0,4.000400040004,2.17145835142882,6.51847989048954,14.0867745311116,16.0792384872652,31.9303338171263,35.8959018845349,84.1195487233621,143.351041403154,181.553378688426,305.408876837448,372.326608364361,273.037542662116,60.3118630616331,55.3088372138531,65.6459172590401,57.7804379953965,"52.9242786439527"," ","62.8467037128217"," ",23.613275729376,"21.4048117566753"," ","25.9286111173802"," ",98.672919371187,90.4877441663441,107.399671837852
"40",39,"S08000015","C18","Colon","Female"," ","2015-2019",0,0,0,0,0,2,1,3,6,19,27,28,43,79,84,92,78,82,544,0,0,0,0,0,3.8765700108544,1.92923563684068,5.78458216034862,10.6443372126029,26.9079888402657,35.1915331777954,38.7152081633782,65.0293388179783,123.291091828454,148.635736277736,216.206053769506,248.676911305235,272.769609473754,56.4588276075364,51.8134881513392,61.4088848452828,48.0879547294515,"44.1162860843143"," ","52.228359448844"," ",20.3761933920142,"18.4296905273084"," ","22.4190109306313"," ",103.462289224119,94.9495822706159,112.533399541317
"41",40,"S08000015","C19-C20","Rectum and rectosigmoid junction","All","d","2015-2019",0,0,0,0,0,1,1,6,8,16,33,36,57,66,68,63,44,46,445,0,0,0,0,0,0.984377922371957,1.02159655109004,6.12964192675078,7.54290024514426,12.0479206042032,22.661255433551,25.8652277936242,44.9697046200454,53.4971751870375,63.7677354014085,81.1991699640404,80.7873090481786,99.6166922926998,24.04638520688,21.8638197730237,26.3878425928288,22.2685209124406,"20.2124931630273"," ","24.4227049227507"," ",10.3741583796457,"9.32261441410072"," ","11.4810844508352"," ",96.4620392792788,87.7066812161468,105.854792177105
