tweet_id,user_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,quote_count,reply_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_type,retweet_source,retweet_favorite_count,retweet_retweet_count,retweet_user_id,retweet_location
336,3250721351,21/05/19 10:03,CodeClanScot,Very excited for the @CodeClanScot #techmums graduation today in Edinburgh https://t.co/h3pjcAxh3c,Twitter Web App,119,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,techmums,NA,NA,NA,NA,photo,Twitter for Android,14,2,855466789,"Belfast, Northern Ireland"
335,3250721351,20/05/19 14:36,CodeClanScot,We loved stepping into something a little bit different this Monday and helping @lrcfs collect some #forensicshoeprints_ Read more about what they're doing here: https://t.co/T6b8MOWx5x https://t.co/HoU1Re1oRc,Twitter Web App,185,NA,NA,NA,FALSE,FALSE,2,1,NA,NA,forensicshoeprints,NA,bit.ly/2LSuB3D,https://t.co/T6b8MOWx5x,https://bit.ly/2LSuB3D,photo,NA,NA,NA,NA,NA
334,3250721351,20/05/19 13:14,CodeClanScot,How can you gain access to Scotland?s top tech talent? Register for our Sourcing the Next Generation of Talent event https://t.co/5MZhUlj9uL and find out from the experts #SISevents @eplacementscot @CodeClanScot @OpenUniversity @AbertayUni @dundeeuni https://t.co/GReyWbnIxN,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,NA,NA,Hootsuite Inc.,5,2,39978805,Scotland
333,3250721351,20/05/19 12:40,CodeClanScot,@lrcfs Glad we could help out! __,Twitter Web App,26,1.13E+18,7.27E+17,lrcfs,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,3250721351,20/05/19 12:39,CodeClanScot,Whoo! We are flying through the collection of #forensicshoeprints today at _@CodeClanScot_ thanks for all your help! _ https://t.co/GBi2oYXeax,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,forensicshoeprints,NA,NA,NA,NA,NA,Twitter for iPhone,5,1,7.27E+17,"Dundee, Scotland"
331,3250721351,20/05/19 11:48,CodeClanScot,Our students are helping collect #forensicshoeprints for @lrcfs! We're helping them do some 'sole searching' as part of creating a new research database _ https://t.co/paCnxng08Z,Twitter Web App,154,NA,NA,NA,FALSE,FALSE,7,2,NA,NA,forensicshoeprints,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
330,3250721351,20/05/19 11:43,CodeClanScot,"Join @CodeClanScot online for a live interactive webinar on Tues 4 Jun or 9 Jul - the sessions are packed with information, plus Q&amp;A opportunities! Don?t miss out - sign up now: https://t.co/Qkzvdkt2QP https://t.co/eejJB3y21A",Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,Hootsuite Inc.,3,3,311971607,Scotland
329,3250721351,20/05/19 10:15,CodeClanScot,"They've arrived! @CodeClanScot now have a brand new base in #Inverness, check out what @KateForbesMSP had to say about it and the impact #digitalskills can have to #changeyourlife https://t.co/RfQUcgDDra",Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,Inverness,NA,NA,NA,NA,NA,Hootsuite Inc.,12,4,39978805,Scotland
328,3250721351,20/05/19 08:49,CodeClanScot,We could not be more excited to announce our launch event at CodeClan on 27/06. Earlybird tickets just ?5! https://t.co/9xDuRMNwyg #WomenSupportingWomen,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,Twitter Web Client,6,3,1.10E+18,"Scotland, United Kingdom"
327,3250721351,20/05/19 08:49,CodeClanScot,On our way to @CodeClanScot today to collect some #forensicshoeprints _ They are going to be supporting us and collecting prints in their co-working spaces and training courses! Everyone is welcome to participate at home too https://t.co/oXvcOPkF13 https://t.co/QkTjYAKYuQ,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,forensicshoeprints,NA,NA,NA,NA,NA,Twitter for iPhone,4,3,7.27E+17,"Dundee, Scotland"
326,3250721351,20/05/19 08:40,CodeClanScot,___ - great news for the #Edinburgh Jobs Market https://t.co/yiAozBhNAQ,Tweetbot for Mac,89,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,Edinburgh,NA,twitter.com/BBCScotlandNew?,https://t.co/yiAozBhNAQ,https://twitter.com/BBCScotlandNews/status/1130352916731187200,NA,TweetDeck,5,4,2196339049,Edinburgh
325,3250721351,20/05/19 08:27,CodeClanScot,"Welcome to the Highlands, @CodeClanScot! _ https://t.co/S8YfctISZk",Twitter Web App,83,NA,NA,NA,FALSE,TRUE,0,5,NA,NA,NA,NA,NA,NA,NA,photo,Hootsuite Inc.,17,5,311971607,Scotland
324,3250721351,18/05/19 14:01,CodeClanScot,Shift your skills into a digital role! See the variety of careers our grads have gone into- from junior developer to product owner https://t.co/5d9urqKOQb,Hootsuite Inc.,154,NA,NA,NA,FALSE,FALSE,2,1,NA,NA,NA,NA,bit.ly/2LGeOVz,https://t.co/5d9urqKOQb,https://bit.ly/2LGeOVz,NA,NA,NA,NA,NA,NA
323,3250721351,17/05/19 17:01,CodeClanScot,"What career paths are there in tech? There are more than you may think, and you could already have some of the most important skills! Visit our Digital Careers page and choose your own path. https://t.co/5d9urqKOQb",Hootsuite Inc.,214,NA,NA,NA,FALSE,FALSE,4,9,NA,NA,NA,NA,bit.ly/2LGeOVz,https://t.co/5d9urqKOQb,https://bit.ly/2LGeOVz,NA,NA,NA,NA,NA,NA
322,3250721351,17/05/19 16:02,CodeClanScot,It's been a brilliant experience being a #CX project host for @CodeClanScot - when you collaborate with generous and enthusiastic people it's wonderfully infectious... #coding #businessforgood #socialgood https://t.co/G1c19WLR7w,Twitter Web Client,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,CX,NA,NA,NA,NA,NA,Twitter for iPhone,2,2,15690410,Edinburgh | Cardiff | London
321,3250721351,17/05/19 15:38,CodeClanScot,"Want to get involved? We're looking for ethical, impactful and relevant projects for our students to tackle. Got a brief? Get in touch! https://t.co/FrjIovOa0j",Twitter Web Client,159,1.13E+18,3250721351,CodeClanScot,FALSE,FALSE,2,8,NA,NA,NA,NA,codeclan.com/for-employers/?,https://t.co/FrjIovOa0j,https://codeclan.com/for-employers/client-xperience/,NA,NA,NA,NA,NA,NA
320,3250721351,17/05/19 15:38,CodeClanScot,CodeClan students and graduates worked on live projects with @OneCherryApp @newsdirect @edfringe @alzscot and the results were amazing! https://t.co/iBnWyufAcx,Twitter Web Client,135,1.13E+18,3250721351,CodeClanScot,FALSE,FALSE,9,1,NA,NA,NA,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
319,3250721351,17/05/19 15:38,CodeClanScot,What an inspiring afternoon we?ve had in CodeClan Edinburgh. Four groups of students presented their Client Xperience projects.,Twitter Web Client,127,NA,NA,NA,FALSE,FALSE,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,3250721351,17/05/19 13:48,CodeClanScot,"Hearing about the complexity of delivering accurate and timely political information to promote engagement in Scotland and how digital helps , from @KirstyRegan founder of @newsdirect at @CodeClanScot https://t.co/txjhXQ8ZwT",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for Android,12,3,7.53E+17,"Scotland, United Kingdom"
317,3250721351,17/05/19 13:48,CodeClanScot,"At @CodeClanScot hearing what our 2nd cohort of developers E28, have achieved towards creating an exciting voice skill for people with a dementia diagnosis @AlzScotDigital @alzscot Fantastic work, thanks! https://t.co/t79EiO3bo0",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for Android,15,2,7.53E+17,"Scotland, United Kingdom"
316,3250721351,17/05/19 08:00,CodeClanScot,"Meet six CodeClan graduates, learn about their careers and choose your own path! Visit our Digital Careers page here: https://t.co/5d9urqKOQb",Hootsuite Inc.,141,NA,NA,NA,FALSE,FALSE,5,2,NA,NA,NA,NA,bit.ly/2LGeOVz,https://t.co/5d9urqKOQb,https://bit.ly/2LGeOVz,NA,NA,NA,NA,NA,NA
315,3250721351,16/05/19 17:18,CodeClanScot,"Our Informational Evening is a GO!! One of our instructors, Sian, goes in depth on how we teach at codeclan______ #codeclanlife https://t.co/bP3L4QeRve",Twitter for iPhone,127,NA,NA,NA,FALSE,FALSE,4,1,NA,NA,codeclanlife,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
314,3250721351,16/05/19 13:35,CodeClanScot,"After the students' projects are presented, we're running #agile retrospectives for detailed feedback, a chance to reflect on what they've learned and what they'd do differently next time. https://t.co/6yVRdm2mji",Twitter Web App,189,1.13E+18,3250721351,CodeClanScot,FALSE,FALSE,5,1,NA,NA,agile,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
313,3250721351,16/05/19 13:04,CodeClanScot,"What?s day-to-day life like for a Junior Developer? Meet Kirstin, one of our grads who now works for a Scottish Start-up on what her job involves. https://t.co/eHQwSi0B64 https://t.co/tDaB62QWKM",Twitter Web App,170,NA,NA,NA,FALSE,FALSE,6,4,NA,NA,NA,NA,bit.ly/2JDBQK1,https://t.co/eHQwSi0B64,https://bit.ly/2JDBQK1,photo,NA,NA,NA,NA,NA
312,3250721351,16/05/19 12:30,CodeClanScot,I attended a great #SIGNA11Y event last night by @cellosignal at @CodeClanScot about Accessibility! I learned lots from the speakers and am keen to further develop my knowledge in this topic and take this forward into my career as a developer. #GlobalAccessibilityAwarenessDay https://t.co/cWHsLDLTUn,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,SIGNA11Y,NA,NA,NA,NA,NA,Twitter Web Client,12,3,2844258789,"Edinburgh, Scotland"
311,3250721351,16/05/19 10:53,CodeClanScot,It's #JavaScript presentation day in #Glasgow! Each team has been hard at work to create their own unique projects- some hilarious- yet all wonderfully built _ Keep up the good work #js https://t.co/PFaexmBTHT,Twitter Web App,185,NA,NA,NA,FALSE,FALSE,12,4,NA,NA,"c(""JavaScript"", ""Glasgow"", ""js"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
310,3250721351,16/05/19 09:22,CodeClanScot,"TEDx Glasgow is happening on 14th June - it looks brilliant with many inspiring speakers. We?ve got some discounted rates and ticket offers for CodeClan students, alum and our community. Get in touch with us through a DM if you are interested!",Twitter Web App,243,NA,NA,NA,FALSE,FALSE,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,3250721351,16/05/19 08:34,CodeClanScot,At the @cellosignal SIGNA11Y event in Edinburgh at @codeclan . #A11Y #accessibility #software #HuaweiP30Pro #ShotOnHuawei #ShotOnAndroid #WideAngle #RewriteTheRules https://t.co/qnADOi10SP https://t.co/TcaNuP5l28,Twitter Web App,140,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,"c(""A11Y"", ""accessibility"", ""software"", ""HuaweiP30Pro"", ""ShotOnHuawei"")",NA,NA,NA,NA,NA,IFTTT,6,4,22066367,"Edinburgh, UK"
308,3250721351,15/05/19 14:48,CodeClanScot,Are you a #tech company in #Dundee? Come along to the @scotlandis Sourcing Talent event on 29th May to hear from local universities &amp; companies on #placements and #apprenticeships they can offer your business https://t.co/3sYtXbPNDA,Twitter for iPhone,139,NA,NA,NA,FALSE,TRUE,0,11,NA,NA,"c(""tech"", ""Dundee"")",NA,NA,NA,NA,NA,Twitter for Android,18,11,2282104867,@scotlandis
307,3250721351,15/05/19 14:46,CodeClanScot,We?re back for the final season of the #ImpactSummit19 Exploring Brand Activism: marketing tactic or the movement we?ve been waiting for? With @futerra @socialgoodhq and @MadeBrave https://t.co/LmNTVIq3oT,Twitter for iPhone,180,NA,NA,NA,FALSE,FALSE,7,1,NA,NA,ImpactSummit19,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
306,3250721351,15/05/19 13:57,CodeClanScot,Hey @CodeYourFuture_ @IrinaPreda we should talk! https://t.co/rWoa6StWRg,Twitter for iPhone,48,NA,NA,NA,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
305,3250721351,15/05/19 13:37,CodeClanScot,Using Tech for Good. @IrinaPreda from @CodeYourFuture_ explores how #refugees can benefit from learning how to code as part of a community #ImpactSummit19 https://t.co/RQxaHeJf97,Twitter for iPhone,154,NA,NA,NA,FALSE,FALSE,6,3,NA,NA,"c(""refugees"", ""ImpactSummit19"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
304,3250721351,15/05/19 13:27,CodeClanScot,"#impactsummit19 keep continuity of message and be prepared to answer the difficult questions warns @futerra?s @OllyLawder #purpose and #values cant just be surface deep, they need to be true right through to the core of your business #SocialImpact",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,impactsummit19,NA,NA,NA,NA,NA,Twitter for iPhone,5,2,31443589,"Scotland, United Kingdom"
303,3250721351,15/05/19 13:18,CodeClanScot,"A post-lunch panel next on the TV studio stage discussing sustainable business practices. Michael Groves (@topolytics), Siobhan MacKenzie (@siobhanmkilts), Alan Mahon (@BrewGoodr) and Martina Zupan (@alterwaste) https://t.co/OjoXleWGXH",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for iPhone,4,1,373452675,Scotland
302,3250721351,15/05/19 13:17,CodeClanScot,"#impactsummit19 @Sustainably?s @loralquinn discusses the importance of aligning company #values with those of #investors. Engaging investors with business issues, encouraging them to help the businesses to scale, keeps alignment on track. #PeopleMakeTheBusiness #impactinvesting https://t.co/ZwVNDEFLNP",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,"c(""impactsummit19"", ""values"", ""investors"")",NA,NA,NA,NA,NA,Twitter for iPhone,4,2,31443589,"Scotland, United Kingdom"
301,3250721351,15/05/19 13:17,CodeClanScot,What are the five things you need to think about before you go ?live? on #purpose? _@futerra_?s _@OllyLawder_ asks ?are you being true to who you are?? - #culture and #values have to be real. #PeopleMakeTheBusiness #impactsummit19 #alignment https://t.co/YVAn9bnHMu,Twitter for iPhone,139,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,purpose,NA,NA,NA,NA,NA,Twitter for iPhone,2,2,31443589,"Scotland, United Kingdom"
300,3250721351,15/05/19 12:37,CodeClanScot,We're hosting a Breakfast briefing this 28th May for partners and those interested in seeing how our Data Analysis course can help upskill their teams &amp; provide a new source of data talent. Find out more and register for the event here: https://t.co/85qHTZKnEq,Twitter Web App,264,NA,NA,NA,FALSE,FALSE,0,0,NA,NA,NA,NA,bit.ly/2LTmJiG,https://t.co/85qHTZKnEq,https://bit.ly/2LTmJiG,NA,NA,NA,NA,NA,NA
299,3250721351,15/05/19 11:58,CodeClanScot,#ImpactSummit19 ?Can you offer empathy?? and ?what voices are missing?? - @aprilwensel discusses the importance of #diversity and #inclusion in problem solving #tech #DiversityInTech #PeopleMakeTheBusiness,Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,4,NA,NA,ImpactSummit19,NA,NA,NA,NA,NA,Twitter for iPhone,6,4,31443589,"Scotland, United Kingdom"
298,3250721351,15/05/19 11:55,CodeClanScot,"Wow! We?re getting a whole MasterClass in guerilla and viral marketing from @HeyGirlsUK who used Holyrood stars, journalists and social good for social good (with a cheeky nod to local #VR tech gurus @ZapparApp) Amazing work folks! #ImpactSummit19 https://t.co/UJo2vjNz9K",Twitter for iPhone,247,NA,NA,NA,FALSE,FALSE,3,0,NA,NA,"c(""VR"", ""ImpactSummit19"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
297,3250721351,15/05/19 11:35,CodeClanScot,@aprilwensel Thank you for highlighting the importance of wellness and self care. It makes a world of difference. #ImpactSummit19,Twitter for iPhone,116,1.13E+18,171313785,aprilwensel,FALSE,FALSE,0,0,NA,NA,ImpactSummit19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,3250721351,15/05/19 11:11,CodeClanScot,"We now have @GetAdministrate?s @johnjpeebles discussing the importance of mental health in the workplace #ImpactSummit19 Listen up, this is important. https://t.co/k44K9YtYoF",Twitter for iPhone,150,NA,NA,NA,FALSE,FALSE,2,3,NA,NA,ImpactSummit19,NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
295,3250721351,15/05/19 10:30,CodeClanScot,"Interesting. Too many developers and engineers are never taught coping mechanisms or anything about self care says @aprilwensel it can lead to toxic workplaces. #Wellness has to be built in - and shared! ~We couldn?t agree more, April #ImpactSummit19 #CodeClanLife https://t.co/GWGbXcPA7f",Twitter for iPhone,264,NA,NA,NA,FALSE,FALSE,10,5,NA,NA,"c(""Wellness"", ""ImpactSummit19"", ""CodeClanLife"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
294,3250721351,15/05/19 10:24,CodeClanScot,Launch of website for Digital Skills Partnership https://t.co/PhE4k24Xk9 @CollegesScot @ScotFundCouncil @scotlandis,Twitter for iPhone,135,NA,NA,NA,FALSE,TRUE,0,12,NA,NA,NA,NA,digitalskillspartnership.scot,https://t.co/PhE4k24Xk9,https://digitalskillspartnership.scot,NA,Twitter for iPhone,25,12,225906778,Scotland
293,3250721351,15/05/19 10:17,CodeClanScot,We can always ask ourselves about diversity and what we can do to do better. How can we create less sufferings? #ImpactSummit19 #CCEUROTOUR https://t.co/TxSAK4ntDU,Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for Android,4,3,9.59E+17,"Glasgow, Scotland"
292,3250721351,15/05/19 10:16,CodeClanScot,"Flying. Walking on the moon. Peace in Western Europe. Once, they were all just ideas. #Impactsummit19 #Imagibation #EuropeanUnion #CANDOFest https://t.co/w5onP8UznV",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,5,NA,NA,"c(""Impactsummit19"", ""Imagibation"")",NA,NA,NA,NA,NA,Twitter for Android,4,5,9.59E+17,"Glasgow, Scotland"
291,3250721351,15/05/19 10:12,CodeClanScot,Changing the ?toxic tech? stereotype requires compassion says @aprilwensel and compassion starts with yourself. Treat yourself as you would a good friend. Then extend this out to your colleagues and community. #ImpactSummit19 #CANDOFest https://t.co/yi1ZpxA4Xz,Twitter for iPhone,236,NA,NA,NA,FALSE,FALSE,23,4,NA,NA,"c(""ImpactSummit19"", ""CANDOFest"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
290,3250721351,15/05/19 10:09,CodeClanScot,The main programme at #ImpactSummit19 starts with Steffen Stauber looking at the five elements of impact. Starting with the Platonic solids and a group visualisation. How do we find the courage to change for the better? #CANDOFest https://t.co/BIYP5CfzRD,Twitter for iPhone,230,NA,NA,NA,FALSE,FALSE,1,1,NA,NA,"c(""ImpactSummit19"", ""CANDOFest"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
289,3250721351,15/05/19 10:03,CodeClanScot,"Excited to be here at @ImpactSummit_ at @SWG3glasgow today to hear from exceptional #entrepreneurs leading sustainable, purpose-driven businesses discussing how we can create more socially conscious companies #EnterpriseFellows #CANDOFest #ImpactSummit19 #ThisIsImpact19 https://t.co/qrX6uObPZa",Twitter for iPhone,139,NA,NA,NA,FALSE,TRUE,0,3,NA,NA,entrepreneurs,NA,NA,NA,NA,NA,Twitter for iPhone,8,3,183280346,
288,3250721351,15/05/19 10:02,CodeClanScot,We?re looking forward to this one. ?Coding With Compassion? is the next topic at #ImpactSummit19 with the amazing @aprilwensel. How do we use technology as a force for good! #CANDOFest https://t.co/yiXHMUoczM,Twitter for iPhone,184,NA,NA,NA,FALSE,FALSE,5,2,NA,NA,"c(""ImpactSummit19"", ""CANDOFest"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
287,3250721351,15/05/19 09:59,CodeClanScot,"?The happiest countries in the world are not those with the most money, but with the least inequalities.? @DerekMackaySNP #ThisIsImpact19 #Sustainability #Equality https://t.co/aFNaF1DEgq",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,5,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for iPhone,16,5,1.03E+18,"Glasgow, Scotland"
286,3250721351,15/05/19 09:59,CodeClanScot,Good luck folks. Fingers crossed. https://t.co/PUvGJAbeWC,Twitter for iPhone,33,NA,NA,NA,TRUE,FALSE,0,0,NA,NA,NA,NA,twitter.com/FirefishCareer?,https://t.co/PUvGJAbeWC,https://twitter.com/FirefishCareers/status/1128600291476160512,NA,NA,NA,NA,NA,NA
285,3250721351,15/05/19 09:48,CodeClanScot,"Excited to be at the #ImpactSummit19 today as part of #teamBG. Come find me to hear more about what being a #BCorp means to us, as well as our new tech for good idea! https://t.co/wPtZk37zLW",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,"c(""ImpactSummit19"", ""teamBG"", ""BCorp"")",NA,NA,NA,NA,NA,Twitter for iPhone,8,2,400321296,"Edinburgh, Scotland"
284,3250721351,15/05/19 09:33,CodeClanScot,Say hello to your TV Studio Stage Host for the day: the wonderful @hazel_gibbens from @FutureXGlobal! #ImpactSummit19 https://t.co/Sx4uHjt3v8,Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,2,NA,NA,ImpactSummit19,NA,NA,NA,NA,NA,Twitter for Android,7,2,9.59E+17,"Glasgow, Scotland"
283,3250721351,15/05/19 09:33,CodeClanScot,"A rousing call to action for businesses and founders with a focus on social impact, inclusion, diversity... and kindness from @DerekMackaySNP at today?s #ImpactSummit19 showing that Scotland #CANDOFest",Twitter for iPhone,201,NA,NA,NA,FALSE,FALSE,7,5,NA,NA,"c(""ImpactSummit19"", ""CANDOFest"")",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,3250721351,15/05/19 09:29,CodeClanScot,"""Politics and business can be a force for good together."" We're delighted to have @DerekMackaySNP opening #ImpactSummit19 https://t.co/l6d1OU82Px",Twitter for iPhone,140,NA,NA,NA,FALSE,TRUE,0,6,NA,NA,NA,NA,NA,NA,NA,NA,Twitter for Android,10,6,9.59E+17,"Glasgow, Scotland"
281,3250721351,15/05/19 09:14,CodeClanScot,"We?re live at #ImpactSummit19 today. Part of Scotland?s #CANDOFest festival exploring how organisations can make a real social impact. Some amazing companies, pioneers and innovators taking part https://t.co/umZLtviAJo",Twitter for iPhone,194,NA,NA,NA,FALSE,FALSE,4,1,NA,NA,"c(""ImpactSummit19"", ""CANDOFest"")",NA,NA,NA,NA,photo,NA,NA,NA,NA,NA
280,3250721351,15/05/19 08:18,CodeClanScot,Very excited for this next week in Edinburgh! https://t.co/CF8KOERscx,Twitter Web App,90,NA,NA,NA,FALSE,TRUE,0,1,NA,NA,NA,NA,twitter.com/CodeClanScot/s?,https://t.co/CF8KOERscx,https://twitter.com/CodeClanScot/status/1128253511437832192,NA,Twitter for Android,3,1,855466789,"Belfast, Northern Ireland"
